,followerCount,followingUsersCount,followingArtists
0,23,22,Arctic Monkeys
1,23,22,BTS
2,23,22,Bo Burnham
3,23,22,Brendon Urie
4,23,22,Cavetown
5,23,22,Childish Gambino
6,23,22,Conan Gray
7,23,22,Cosmo Pyke
8,23,22,Deer Tick
9,23,22,Drew Monson
10,23,22,Fall Out Boy
11,23,22,Flights Over Phoenix
12,23,22,La Habitación Roja
13,23,22,Lincoln
14,23,22,Mansions
15,23,22,McCafferty
16,23,22,PWR BTTM
17,23,22,Panic! At The Disco
18,23,22,Pinegrove
19,23,22,Ramshackle Glory
20,23,22,Rex Orange County
21,23,22,Sorority Noise
22,23,22,The 1975
23,23,22,The Brobecks
24,23,22,The Green Raver
25,23,22,The Kooks
26,23,22,The Mowgli's
27,23,22,Twenty One Pilots
28,23,22,WALK THE MOON
29,23,22,Watsky
30,23,22,Wild Party
31,23,22,Will Joseph Cook
32,23,22,half•alive
